RP11-368I23.2
RP11-167B3.1
RP11-742D12.2
RAB4B
AC104071.1
TIGAR
LINC01224
MIR4802
RNF44
DNAH3
RP11-597A11.11
RPL23A
RPL7L1P12
CH17-38B12.4
ARL8B
RP11-791M20.1
CALB2
DACH1
LINC00636
RP11-578F21.13
PIGFP2
CHIAP1
RP5-1071N3.1
FMO2
ZNF708
AP000892.6
RP11-317G22.2
MTHFD2P3
RP11-488C13.7
RP11-434D2.10
RP11-15J22.8
MYADML2
DNM3-IT1
PHEX
MOGAT2
AC108868.6
RP11-411B10.8
NUP210P2
RPL7P13
PFN2
RP11-189E14.5
CASC23
DNM1P41
RMND5A
RP11-166A12.1
AC092301.3
PCAT1
AC007041.2
RAD23A
U1
TUBB4A
OR2D2
SERPINB11
COX10
RP11-725G5.2
GJA4
LINC00705
RPL7P17
TLL2
MFSD3
CTC-360J11.7
RP11-21C4.1
C1QTNF1-AS1
CTSA
HCG4P5
IL32
MIR5004
CTD-2014E2.6
PRAC2
RP11-927P21.2
RP11-77P6.2
RPS4XP3
NUCB2
SERPINB12
RP11-334C17.6
B3GAT2
RNU6-428P
RP11-709D24.5
RP11-369E15.3
SPATA2
GGT3P
CTD-2542C24.14
RP11-19N8.3
RP1-71H19.2
Metazoa_SRP
COLCA1
RN7SL560P
SNORA18
RNU6-820P
RP11-1007J8.1
FGF23
RP11-638L3.4
SERTAD2
OTUD1
ADGRG5
ST3GAL6
AC010739.1
GLI4
PKP2
RP11-348F1.2
RNU6-453P
HOOK1
TRIM51HP
RNMTL1
AP005242.1
KRT1
RP5-864K19.7
CTD-2591A1.1
IGHV3-43
PDLIM1P3
RNU6-1273P
RNA5SP218
ASB8
RP5-1025A1.3
RAET1K
AP002495.1
RP11-266K4.14
AL360178.1
AC007682.3
CTD-3099C6.5
Y_RNA
DDX11L10
SLC45A4
RP11-789C7.1
RNA5SP128
MTRF1
GAGE10
RP11-63P12.7
RP11-212F11.1
uc_338
MTND5P14
IGSF11-AS1
U8
AC055736.4
RP11-265E18.1
SNX18P14
AC009133.15
RARRES2P7
MTND2P28
FMO7P
ESM1
AC006458.3
RP11-379J13.1
RWDD2A
ENTPD1-AS1
LINC00592
LINC01181
AC096670.3
RP11-569A11.2
RP11-1250I15.3
MIR8067
SCFD2
PRR23A
GFOD1-AS1
RP11-74E22.6
TMEM155
RP11-314A15.2
TOMM40
RP11-536L3.4
RNA5SP75
RP11-108O10.8
PRSS48
RP11-544M22.3
AC018696.1
ADTRP
SEPSECS
RP3-522J7.7
DCDC2C
ALG1L9P
CWC27
MT1L
RNA5SP37
CTD-2517M22.16
RP11-430C7.4
CTD-2616J11.14
FO082796.1
SMARCE1P1
PHBP19
BEND3P3
PRAMEF26
CTD-2004A9.1
RP11-1046B16.3
MYOM2
MIR4487
MAP9
CTD-2528L19.4
MTND6P7
EVX1
GLYATL1P1
RNU7-147P
APIP
FOXP1
RNU6-498P
RP11-430H12.2
MAF1
NPHP3
OR5L2
PRAMEF4
PLCE1
RP11-550F7.1
RAD17
RP11-104G3.7
AC005086.2
RP11-270L13.1
MITD1
ZMAT3
CICP17
SPCS2
DGCR11
SETDB2
PAX3
DESI2
RP13-554M15.2
MT1A
COX17
PSORS1C3
RP11-588F10.1
NLGN2
RP11-771F20.1
HAO1
CTD-2342N23.3
CTD-2561B21.3
HSPA8P15
PKMYT1
OR4A7P
RP11-452N17.1
RP11-40E6.2
EIF3LP3
AP001626.2
FAM89B
IGLJ6
RP11-740P5.3
RP11-703P11.1
CTD-2266L18.1
AC006386.1
MED8
PHF1
IGHV1-24
RNU6-1329P
MTND4P10
FAM69A
CTC-425K20.1
ANKMY1
PSMB6
CIB4
RP11-493E3.1
GUCY1A3
RP11-440D17.4
PRKG2
MESTP3
FBXO45
RP11-8J23.1
RP11-339A11.3
AMZ2
RP11-177C12.4
RP11-605F22.2
RP13-582L3.4
TMEM52
RPS2P24
RNA5SP177
HLA-DRB1
AC092675.4
RP11-132A1.3
RP11-474P2.7
RP11-381K7.1
RP11-325E14.5
RP11-269G24.8
GCNT4
EFCAB1
RPL32P33
AC012506.2
AC024896.1
KLK8
RN7SL541P
AC004053.2
