layer,bn,coefficient_of_correlation
Decoder_8,no,0.2008
Decoder_8,no,0.4119
Decoder_8,no,0.2165
Decoder_8,no,0.2086
Decoder_8,no,0.5463
Decoder_8,no,0.3545
Decoder_8,no,0.4122
Decoder_8,no,0.17
Decoder_8,no,0.126
Decoder_8,no,0.2806
Decoder_8,no,0.1621
Decoder_8,no,0.2604
Decoder_8,no,0.2764
Decoder_8,no,0.2469
Decoder_8,no,0.6535
Decoder_8,no,0.2837
Decoder_8,no,0.5095
Decoder_8,no,0.3807
Decoder_8,no,0.3763
Decoder_8,no,0.5225
Decoder_8,no,0.3469
Decoder_8,no,0.1793
Decoder_8,no,0.463
Decoder_8,no,0.3663
Decoder_8,no,0.032
Decoder_8,no,0.0941
Decoder_8,no,0.1399
Decoder_8,no,0.705
Decoder_8,no,0.1674
Decoder_8,no,0.5583
Decoder_8,no,0.5565
Decoder_8,no,0.469
Decoder_8,no,0.3122
Decoder_8,no,0.1196
Decoder_8,no,0.4135
Decoder_8,no,0.3709
Decoder_8,no,0.3714
Decoder_8,no,0.3795
Decoder_8,no,0.3112
Decoder_8,no,0.3376
Decoder_8,no,0.1022
Decoder_8,no,0.2118
Decoder_8,no,0.3734
Decoder_8,no,0.2995
Decoder_8,no,0.0748
Decoder_8,no,0.2047
Decoder_8,no,0.552
Decoder_8,no,0.4053
Decoder_8,no,0.3611
Decoder_8,no,0.3134
Decoder_8,no,0.2949
Decoder_8,no,0.0689
Decoder_8,no,0.5331
Decoder_8,no,0.2289
Decoder_8,no,0.2637
Decoder_8,no,0.2096
Decoder_8,no,0.3296
Decoder_8,no,0.0995
Decoder_8,no,0.2101
Decoder_8,no,0.0651
Decoder_8,no,0.1427
Decoder_8,no,0.4732
Decoder_8,no,0.1562
Decoder_8,no,0.4678
Decoder_8,no,-0.0482
Decoder_8,no,0.2374
Decoder_8,no,0.4385
Decoder_8,no,0.4472
Decoder_8,no,0.1949
Decoder_8,no,0.1928
Decoder_8,no,0.0271
Decoder_8,no,0.2156
Decoder_8,no,0.2933
Decoder_8,no,-0.0772
Decoder_8,no,0.2419
Decoder_8,no,0.36
Decoder_8,no,0.3143
Decoder_8,no,0.1977
Decoder_8,no,0.3109
Decoder_8,no,0.3075
Decoder_8,no,0.4442
Decoder_8,no,0.6927
Decoder_8,no,0.5202
Decoder_8,no,0.1483
Decoder_8,no,0.3411
Decoder_8,no,0.1856
Decoder_8,no,0.333
Decoder_8,no,0.4028
Decoder_8,no,0.3565
Decoder_8,no,0.3626
Decoder_8,no,0.3055
Decoder_8,no,0.4239
Decoder_8,no,0.1134
Decoder_8,no,0.1564
Decoder_8,no,0.5828
Decoder_8,no,0.5991
Decoder_8,no,0.3034
Decoder_8,no,0.4417
Decoder_8,no,0.4907
Decoder_8,no,0.6878
Decoder_8,no,0.261
Decoder_8,no,0.0219
Decoder_8,no,0.2733
Decoder_8,no,0.41
Decoder_8,no,0.1715
Decoder_8,no,0.3584
Decoder_8,no,0.06
Decoder_8,no,0.6093
Decoder_8,no,0.6232
Decoder_8,no,0.2768
Decoder_8,no,0.3453
Decoder_8,no,0.3956
Decoder_8,no,0.427
Decoder_8,no,-0.0301
Decoder_8,no,0.5806
Decoder_8,no,-0.0257
Decoder_8,no,0.6205
Decoder_8,no,0.267
Decoder_8,no,0.263
Decoder_8,no,0.4103
Decoder_8,no,-0.0697
Decoder_8,no,0.3818
Decoder_8,no,0.1451
Decoder_8,no,0.6033
Decoder_8,no,0.8267
Decoder_8,no,0.2751
Decoder_8,no,0.3273
Decoder_8,no,0.3893
Decoder_8,no,0.2397
Decoder_8,no,0.5896
Decoder_8,no,0.1581
Decoder_8,no,0.3392
Decoder_8,no,0.234
Decoder_8,no,0.1292
Decoder_8,no,0.3873
Decoder_8,no,0.5004
Decoder_8,no,0.084
Decoder_8,no,0.5626
Decoder_8,no,0.2497
Decoder_8,no,0.5544
Decoder_8,no,0.1139
Decoder_8,no,0.03
Decoder_8,no,0.3477
Decoder_8,no,0.8905
Decoder_8,no,0.0265
Decoder_8,no,0.5277
Decoder_8,no,0.3188
Decoder_8,no,0.2494
Decoder_8,no,0.4508
Decoder_8,no,0.3238
Decoder_8,no,0.1971
Decoder_8,no,0.4424
Decoder_8,no,0.6716
Decoder_8,no,0.5753
Decoder_8,no,0.7961
Decoder_8,no,0.097
Decoder_8,no,0.6214
Decoder_8,no,-0.0763
Decoder_8,no,0.2528
Decoder_8,no,0.2116
Decoder_8,no,0.242
Decoder_8,no,0.3183
Decoder_8,no,0.8697
Decoder_8,no,0.059
Decoder_8,no,0.1577
Decoder_8,no,0.4717
Decoder_8,no,0.3865
Decoder_8,no,0.4948
Decoder_8,no,0.285
Decoder_8,no,0.5221
Decoder_8,no,0.3634
Decoder_8,no,0.6895
Decoder_8,no,0.7339
Decoder_8,no,0.2809
Decoder_8,no,0.4511
Decoder_8,no,0.0797
Decoder_8,no,0.2332
Decoder_8,no,0.2175
Decoder_8,no,0.3372
Decoder_8,no,0.012
Decoder_8,no,0.2284
Decoder_8,no,0.4592
Decoder_8,no,0.1138
Decoder_8,no,0.5461
Decoder_8,no,0.4415
Decoder_8,no,0.4676
Decoder_8,no,0.3869
Decoder_8,no,0.0081
Decoder_8,no,0.3501
Decoder_8,no,0.3108
Decoder_8,no,0.3583
Decoder_8,no,0.6021
Decoder_8,no,0.2128
Decoder_8,no,0.5829
Decoder_8,no,0.2781
Decoder_8,no,0.2581
Decoder_8,no,0.4885
