activation,bn_position,model_num,neuron_idx,correlation
LeakyReLU,before_bn,2,62,0.8254
LeakyReLU,before_bn,2,63,0.7915
LeakyReLU,before_bn,3,0,0.7528
LeakyReLU,before_bn,3,1,0.534
LeakyReLU,before_bn,3,2,0.6646
LeakyReLU,before_bn,3,3,0.7274
LeakyReLU,before_bn,3,4,0.6359
LeakyReLU,before_bn,3,5,0.5292
LeakyReLU,before_bn,3,6,0.6226
LeakyReLU,before_bn,3,7,0.789
LeakyReLU,before_bn,3,8,0.7541
LeakyReLU,before_bn,3,9,0.7264
LeakyReLU,before_bn,3,10,0.7283
LeakyReLU,before_bn,3,11,0.7671
LeakyReLU,before_bn,3,12,0.6529
LeakyReLU,before_bn,3,13,0.6597
LeakyReLU,before_bn,3,14,0.6643
LeakyReLU,before_bn,3,15,0.877
LeakyReLU,before_bn,3,16,0.7424
LeakyReLU,before_bn,3,17,0.6686
LeakyReLU,before_bn,3,18,0.6746
LeakyReLU,before_bn,3,19,0.5452
LeakyReLU,before_bn,3,20,0.8117
LeakyReLU,before_bn,3,21,0.6855
LeakyReLU,before_bn,3,22,0.657
LeakyReLU,before_bn,3,23,0.4297
LeakyReLU,before_bn,3,24,0.6752
LeakyReLU,before_bn,3,25,0.655
LeakyReLU,before_bn,3,26,0.5417
LeakyReLU,before_bn,3,27,0.7187
LeakyReLU,before_bn,3,28,0.6649
LeakyReLU,before_bn,3,29,0.6276
LeakyReLU,before_bn,3,30,0.707
LeakyReLU,before_bn,3,31,0.7285
LeakyReLU,before_bn,3,32,0.6877
LeakyReLU,before_bn,3,33,0.7507
LeakyReLU,before_bn,3,34,0.5809
LeakyReLU,before_bn,3,35,0.669
LeakyReLU,before_bn,3,36,0.655
LeakyReLU,before_bn,3,37,0.5069
LeakyReLU,before_bn,3,38,0.7058
LeakyReLU,before_bn,3,39,0.6554
LeakyReLU,before_bn,3,40,0.688
LeakyReLU,before_bn,3,41,0.587
LeakyReLU,before_bn,3,42,0.6018
LeakyReLU,before_bn,3,43,0.7812
LeakyReLU,before_bn,3,44,0.7938
LeakyReLU,before_bn,3,45,0.7322
LeakyReLU,before_bn,3,46,0.6172
LeakyReLU,before_bn,3,47,0.7479
LeakyReLU,before_bn,3,48,0.7379
LeakyReLU,before_bn,3,49,0.6992
LeakyReLU,before_bn,3,50,0.8428
LeakyReLU,before_bn,3,51,0.759
LeakyReLU,before_bn,3,52,0.7768
LeakyReLU,before_bn,3,53,0.6057
LeakyReLU,before_bn,3,54,0.8104
LeakyReLU,before_bn,3,55,0.8214
LeakyReLU,before_bn,3,56,0.6955
LeakyReLU,before_bn,3,57,0.8218
LeakyReLU,before_bn,3,58,0.8765
LeakyReLU,before_bn,3,59,0.5209
LeakyReLU,before_bn,3,60,0.6704
LeakyReLU,before_bn,3,61,0.8071
LeakyReLU,before_bn,3,62,0.7932
LeakyReLU,before_bn,3,63,0.759
LeakyReLU,before_bn,4,0,0.7797
LeakyReLU,before_bn,4,1,0.8686
LeakyReLU,before_bn,4,2,0.7758
LeakyReLU,before_bn,4,3,0.7861
LeakyReLU,before_bn,4,4,0.7703
LeakyReLU,before_bn,4,5,0.7992
LeakyReLU,before_bn,4,6,0.8073
LeakyReLU,before_bn,4,7,0.7465
LeakyReLU,before_bn,4,8,0.7627
LeakyReLU,before_bn,4,9,0.547
LeakyReLU,before_bn,4,10,0.7702
LeakyReLU,before_bn,4,11,0.7873
LeakyReLU,before_bn,4,12,0.7006
LeakyReLU,before_bn,4,13,0.6901
LeakyReLU,before_bn,4,14,0.5423
LeakyReLU,before_bn,4,15,0.5679
LeakyReLU,before_bn,4,16,0.6537
LeakyReLU,before_bn,4,17,0.5941
LeakyReLU,before_bn,4,18,0.5527
LeakyReLU,before_bn,4,19,0.803
LeakyReLU,before_bn,4,20,0.6766
LeakyReLU,before_bn,4,21,0.8105
LeakyReLU,before_bn,4,22,0.7101
LeakyReLU,before_bn,4,23,0.6674
LeakyReLU,before_bn,4,24,0.6443
LeakyReLU,before_bn,4,25,0.7472
LeakyReLU,before_bn,4,26,0.6866
LeakyReLU,before_bn,4,27,0.7835
LeakyReLU,before_bn,4,28,0.6066
LeakyReLU,before_bn,4,29,0.6837
LeakyReLU,before_bn,4,30,0.6932
LeakyReLU,before_bn,4,31,0.7272
LeakyReLU,before_bn,4,32,0.5692
LeakyReLU,before_bn,4,33,0.4362
LeakyReLU,before_bn,4,34,0.5531
LeakyReLU,before_bn,4,35,0.7498
LeakyReLU,before_bn,4,36,0.7367
LeakyReLU,before_bn,4,37,0.7678
LeakyReLU,before_bn,4,38,0.6477
LeakyReLU,before_bn,4,39,0.6329
LeakyReLU,before_bn,4,40,0.8194
LeakyReLU,before_bn,4,41,0.6933
LeakyReLU,before_bn,4,42,0.6903
LeakyReLU,before_bn,4,43,0.7601
LeakyReLU,before_bn,4,44,0.6996
LeakyReLU,before_bn,4,45,0.6745
LeakyReLU,before_bn,4,46,0.6802
LeakyReLU,before_bn,4,47,0.7627
LeakyReLU,before_bn,4,48,0.7826
LeakyReLU,before_bn,4,49,0.4819
LeakyReLU,before_bn,4,50,0.6193
LeakyReLU,before_bn,4,51,0.776
LeakyReLU,before_bn,4,52,0.374
LeakyReLU,before_bn,4,53,0.7185
LeakyReLU,before_bn,4,54,0.776
LeakyReLU,before_bn,4,55,0.6654
LeakyReLU,before_bn,4,56,0.8927
LeakyReLU,before_bn,4,57,0.8061
LeakyReLU,before_bn,4,58,0.5894
LeakyReLU,before_bn,4,59,0.4916
LeakyReLU,before_bn,4,60,0.7344
LeakyReLU,before_bn,4,61,0.5866
LeakyReLU,before_bn,4,62,0.714
LeakyReLU,before_bn,4,63,0.7248
LeakyReLU,before_bn,5,0,0.701
LeakyReLU,before_bn,5,1,0.6614
LeakyReLU,before_bn,5,2,0.8761
LeakyReLU,before_bn,5,3,0.5503
LeakyReLU,before_bn,5,4,0.6306
LeakyReLU,before_bn,5,5,0.7554
LeakyReLU,before_bn,5,6,0.8354
LeakyReLU,before_bn,5,7,0.7963
LeakyReLU,before_bn,5,8,0.5397
LeakyReLU,before_bn,5,9,0.739
LeakyReLU,before_bn,5,10,0.6407
LeakyReLU,before_bn,5,11,0.7431
LeakyReLU,before_bn,5,12,0.8305
LeakyReLU,before_bn,5,13,0.7704
LeakyReLU,before_bn,5,14,0.6998
LeakyReLU,before_bn,5,15,0.7063
LeakyReLU,before_bn,5,16,0.5404
LeakyReLU,before_bn,5,17,0.6497
LeakyReLU,before_bn,5,18,0.8345
LeakyReLU,before_bn,5,19,0.714
LeakyReLU,before_bn,5,20,0.7135
LeakyReLU,before_bn,5,21,0.6651
LeakyReLU,before_bn,5,22,0.7109
LeakyReLU,before_bn,5,23,0.5666
LeakyReLU,before_bn,5,24,0.7722
LeakyReLU,before_bn,5,25,0.8083
LeakyReLU,before_bn,5,26,0.695
LeakyReLU,before_bn,5,27,0.6604
LeakyReLU,before_bn,5,28,0.5449
LeakyReLU,before_bn,5,29,0.8332
LeakyReLU,before_bn,5,30,0.7333
LeakyReLU,before_bn,5,31,0.7987
LeakyReLU,before_bn,5,32,0.6033
LeakyReLU,before_bn,5,33,0.4731
LeakyReLU,before_bn,5,34,0.678
LeakyReLU,before_bn,5,35,0.8016
LeakyReLU,before_bn,5,36,0.6733
LeakyReLU,before_bn,5,37,0.6895
LeakyReLU,before_bn,5,38,0.7128
LeakyReLU,before_bn,5,39,0.7955
LeakyReLU,before_bn,5,40,0.7999
LeakyReLU,before_bn,5,41,0.6052
LeakyReLU,before_bn,5,42,0.6564
LeakyReLU,before_bn,5,43,0.5443
LeakyReLU,before_bn,5,44,0.533
LeakyReLU,before_bn,5,45,0.7614
LeakyReLU,before_bn,5,46,0.7188
LeakyReLU,before_bn,5,47,0.6922
LeakyReLU,before_bn,5,48,0.7692
LeakyReLU,before_bn,5,49,0.6901
LeakyReLU,before_bn,5,50,0.6051
LeakyReLU,before_bn,5,51,0.6462
LeakyReLU,before_bn,5,52,0.7342
LeakyReLU,before_bn,5,53,0.6718
LeakyReLU,before_bn,5,54,0.6035
LeakyReLU,before_bn,5,55,0.7232
LeakyReLU,before_bn,5,56,0.6884
LeakyReLU,before_bn,5,57,0.7441
LeakyReLU,before_bn,5,58,0.5967
LeakyReLU,before_bn,5,59,0.6268
LeakyReLU,before_bn,5,60,0.6657
LeakyReLU,before_bn,5,61,0.7035
LeakyReLU,before_bn,5,62,0.7614
LeakyReLU,before_bn,5,63,0.5587
LeakyReLU,before_bn,6,0,0.7324
LeakyReLU,before_bn,6,1,0.8076
LeakyReLU,before_bn,6,2,0.8014
LeakyReLU,before_bn,6,3,0.6063
LeakyReLU,before_bn,6,4,0.7239
LeakyReLU,before_bn,6,5,0.5917
LeakyReLU,before_bn,6,6,0.6439
LeakyReLU,before_bn,6,7,0.6801
LeakyReLU,before_bn,6,8,0.7343
LeakyReLU,before_bn,6,9,0.6943
LeakyReLU,before_bn,6,10,0.4716
LeakyReLU,before_bn,6,11,0.7433
LeakyReLU,before_bn,6,12,0.5108
LeakyReLU,before_bn,6,13,0.6331
LeakyReLU,before_bn,6,14,0.6717
LeakyReLU,before_bn,6,15,0.8034
LeakyReLU,before_bn,6,16,0.552
LeakyReLU,before_bn,6,17,0.7596
LeakyReLU,before_bn,6,18,0.7544
LeakyReLU,before_bn,6,19,0.8405
LeakyReLU,before_bn,6,20,0.7412
LeakyReLU,before_bn,6,21,0.6794
LeakyReLU,before_bn,6,22,0.5689
LeakyReLU,before_bn,6,23,0.7877
LeakyReLU,before_bn,6,24,0.4225
LeakyReLU,before_bn,6,25,0.5706
LeakyReLU,before_bn,6,26,0.7999
LeakyReLU,before_bn,6,27,0.5437
LeakyReLU,before_bn,6,28,0.754
LeakyReLU,before_bn,6,29,0.6708
LeakyReLU,before_bn,6,30,0.597
LeakyReLU,before_bn,6,31,0.8687
LeakyReLU,before_bn,6,32,0.6539
LeakyReLU,before_bn,6,33,0.5151
LeakyReLU,before_bn,6,34,0.8182
LeakyReLU,before_bn,6,35,0.7224
LeakyReLU,before_bn,6,36,0.6523
LeakyReLU,before_bn,6,37,0.5194
LeakyReLU,before_bn,6,38,0.7171
LeakyReLU,before_bn,6,39,0.6596
LeakyReLU,before_bn,6,40,0.5536
LeakyReLU,before_bn,6,41,0.601
LeakyReLU,before_bn,6,42,0.462
LeakyReLU,before_bn,6,43,0.7414
LeakyReLU,before_bn,6,44,0.7487
LeakyReLU,before_bn,6,45,0.7345
LeakyReLU,before_bn,6,46,0.7903
LeakyReLU,before_bn,6,47,0.5254
LeakyReLU,before_bn,6,48,0.6327
LeakyReLU,before_bn,6,49,0.6651
LeakyReLU,before_bn,6,50,0.7841
LeakyReLU,before_bn,6,51,0.6624
LeakyReLU,before_bn,6,52,0.7382
LeakyReLU,before_bn,6,53,0.667
LeakyReLU,before_bn,6,54,0.7476
LeakyReLU,before_bn,6,55,0.7459
LeakyReLU,before_bn,6,56,0.7784
LeakyReLU,before_bn,6,57,0.7411
LeakyReLU,before_bn,6,58,0.6883
LeakyReLU,before_bn,6,59,0.6901
LeakyReLU,before_bn,6,60,0.8302
LeakyReLU,before_bn,6,61,0.5456
LeakyReLU,before_bn,6,62,0.6875
LeakyReLU,before_bn,6,63,0.712
